Row	Col	ControlType	ProbeName	SystematicName	logFC	t	P.Value	adj.P.Val	B
8648	106	38	0	A_07_P020616	b1597	9.34035714085977	67.984102522454	8.67664320471732e-12	8.21851644350825e-08	16.4557796249894
9921	121	81	0	A_07_P002209	b2752	-7.94674771255821	-55.3049802785848	4.10207686735556e-11	1.33109492384577e-07	15.537227784389
15509	190	11	0	A_07_P002266	b2764	-7.010165716494	-55.1041655761974	4.21588341589665e-11	1.33109492384577e-07	15.5194374237711
11764	144	38	0	A_07_P002265	b2763	-6.80043912793436	-46.6607239799034	1.47252520777961e-10	2.65902069318426e-07	14.648938745711
12525	153	61	0	A_07_P002196	b2750	-6.45946031419331	-46.0664598011074	1.62144226795682e-10	2.65902069318426e-07	14.5773559106601
12927	158	53	0	A_07_P035078	c_1989	9.14624512331224	45.300599857737	1.8391594447745e-10	2.65902069318426e-07	14.4827949943745
2194	27	62	0	A_07_P031027	c_0459	-6.03996801216656	-44.9031634867168	1.96507019133127e-10	2.65902069318426e-07	14.4326707061682
12285	150	67	0	A_07_P030710	c_3318	-6.64850424819713	-43.3525905352549	2.55887306025131e-10	3.02970570333756e-07	14.2299373843583
6046	74	60	0	A_07_P012663	b3238	5.21768592300531	42.2983109375593	3.07869452520547e-10	3.17401820064351e-07	14.0852497365514
3590	44	64	0	A_07_P004326	b0775	-6.31100855608568	-41.8237868091648	3.35094826926046e-10	3.17401820064351e-07	14.0182279743995
14342	175	74	0	A_07_P059803	ECs4269	-5.77947313863764	-39.2402645541209	5.40871512676661e-10	4.06176016621185e-07	13.6312024566106
8852	108	78	0	A_07_P035544	c_3997	4.61322720711621	39.229286613714	5.42008741705889e-10	4.06176016621185e-07	13.6294739528806
6928	85	40	0	A_07_P041781	c_3929	-4.92180220894707	-38.7087201162926	5.99176025326378e-10	4.06176016621185e-07	13.5466502465974
4491	55	63	0	A_07_P013551	b2499	-4.43651129224816	-38.6986729678667	6.0034461916138e-10	4.06176016621185e-07	13.5450350062531
6544	80	66	0	A_07_P030056	c_2956	-5.45101305510969	-37.1997163063855	8.0751296113481e-10	4.77559311505967e-07	13.2967104628683
8055	99	19	0	A_07_P046666	Z1105	-4.26996442091409	-36.8013816952714	8.75443197158807e-10	4.77559311505967e-07	13.2281836364751
5117	63	33	0	A_07_P002205	b2751	-6.54575579324243	-36.4242996937691	9.4576446234532e-10	4.77559311505967e-07	13.1622915180588
7806	96	16	0	A_07_P014964	b1920	-4.90921455790029	-36.2255527124871	9.85388156804492e-10	4.77559311505967e-07	13.1271552355557
540	7	48	0	A_07_P004340	b0777	-5.10306254103564	-35.736343842569	1.09118157402057e-09	4.77559311505967e-07	13.039448996962
9287	114	21	0	A_07_P012663	b3238	5.38380499185395	35.6309827898803	1.11561463426408e-09	4.77559311505967e-07	13.020329409482
9499	116	69	0	A_07_P043152	Z4059	-6.80038687679268	-35.6247235680845	1.11708551094228e-09	4.77559311505967e-07	13.0191909690347
4763	59	7	0	A_07_P041209	c_2335	-4.67123968598861	-35.2921134137497	1.19849855715053e-09	4.77559311505967e-07	12.9582728735437
6607	81	47	0	A_07_P013174	b2423	-5.4073779916862	-35.2682506173142	1.20459293956384e-09	4.77559311505967e-07	12.9538702825461
2601	32	59	0	A_07_P045946	Z4534	-4.91286334605566	-35.140576962693	1.23780175833607e-09	4.77559311505967e-07	12.9302413858249
12058	148	4	0	A_07_P013130	b2414	-5.24115757837222	-35.0557078947438	1.2604500409258e-09	4.77559311505967e-07	12.9144655113022
1315	17	3	0	A_07_P010846	b0032	-5.16555888543309	-34.6419745462805	1.37779859158345e-09	4.8912220523713e-07	12.8367612195458
12876	158	2	0	A_07_P032576	c_3323	-6.28506446602977	-34.5871864320749	1.3942461509082e-09	4.8912220523713e-07	12.8263710641076
4388	54	42	0	A_07_P057011	ECs0957	-4.26570846440258	-33.9555111144805	1.60084327326847e-09	5.41542410157107e-07	12.7048497101748
4573	56	63	0	A_07_P003778	b4245	-4.56953266627212	-33.6356452860733	1.71853488968352e-09	5.61309050864906e-07	12.6420773722316
3682	45	74	0	A_07_P018658	b1722	5.31156196807601	33.4810754058544	1.77889561725993e-09	5.61656642889536e-07	12.611439412006
13675	167	63	0	A_07_P001467	b1051	-3.85279548389389	-33.2529912324921	1.87239848831861e-09	5.72108338108189e-07	12.5658628677196
10214	125	46	0	A_07_P012680	b3241	4.3132190504192	32.6586471328565	2.14332338802051e-09	6.14663193640518e-07	12.4450045828329
9223	113	39	0	A_07_P046053	Z4786	-5.72473074883297	-32.3997675332156	2.27500135564715e-09	6.14663193640518e-07	12.3913956424168
14718	180	40	0	A_07_P006891	b1188	-4.41297565888901	-32.3017478720165	2.32722966460123e-09	6.14663193640518e-07	12.3709417474358
12143	149	7	0	A_07_P042814	Z3690	-7.11942337104397	-32.2494404833286	2.35565536795601e-09	6.14663193640518e-07	12.3599913643128
4217	52	35	0	A_07_P008407	b0343	-4.72212730783603	-32.2173272307207	2.37330146320041e-09	6.14663193640518e-07	12.3532563339627
3386	42	24	0	A_07_P016631	b0574	-5.77649052256738	-32.1478954498591	2.41196771930675e-09	6.14663193640518e-07	12.3386626958645
8970	110	32	0	A_07_P007706	b3556	3.89253154561396	32.0530908363385	2.4659207515139e-09	6.14663193640518e-07	12.3186653293371
307	4	61	0	A_07_P004751	b0860	-5.41106722575331	-31.8620679573213	2.57883232720076e-09	6.26325635980655e-07	12.2781227576735
8420	103	56	0	A_07_P057962	ECs4929	-4.62435327011888	-31.559103199776	2.7701206139902e-09	6.5596456139288e-07	12.2131293441959
5247	64	81	0	A_07_P013559	b2500	-3.61964414938916	-31.2868550303337	2.95580450164883e-09	6.82862932673604e-07	12.1539897502639
8206	101	6	0	A_07_P063026	ECs0854	-5.46596177293928	-31.013279562094	3.15671061372136e-09	7.05339550245368e-07	12.0938483035609
10413	127	81	0	A_07_P004935	b0897	-4.20839336107351	-30.9016486024952	3.24309425494346e-09	7.05339550245368e-07	12.0690996955553
6853	84	47	0	A_07_P008412	b0344	-6.2442331692053	-30.8593875755027	3.27649284320061e-09	7.05339550245368e-07	12.0596986499824
2030	25	62	0	A_07_P018293	b3455	-3.78609935311457	-30.4405851653679	3.62937996495105e-09	7.38309491455112e-07	11.9655809839714
15717	192	55	0	A_07_P055974	ECs3521	-3.67633452727872	-30.4341874591944	3.63509459276603e-09	7.38309491455112e-07	11.9641296511607
1880	23	76	0	A_07_P063326	ECs3125	-4.23750831302934	-30.4025694490294	3.66348670802262e-09	7.38309491455112e-07	11.9569509865677
13291	163	7	0	A_07_P054299	ECs2098	-4.49010936461541	-30.2855906671144	3.77073405046525e-09	7.44091519291809e-07	11.9303038803938
3378	42	16	0	A_07_P018957	b3830	-4.70088617214428	-30.1944709611888	3.85673800904123e-09	7.45531069829358e-07	11.9094510392026
10558	129	62	0	A_07_P012663	b3238	5.29369678050648	30.0725486175891	3.97530931318743e-09	7.47903257665027e-07	11.8814161795421
11781	144	55	0	A_07_P010855	b0033	-5.35941238123311	-29.962935727021	4.08544069687633e-09	7.47903257665027e-07	11.8560811269144
161	2	79	0	A_07_P013181	b2425	-7.05151550990687	-29.9223331618923	4.12710845978949e-09	7.47903257665027e-07	11.8466650005327
7573	93	29	0	A_07_P001832	b2672	-4.65892229858504	-29.8099498123367	4.24497044437319e-09	7.47903257665027e-07	11.8205127284016
15567	190	69	0	A_07_P001117	b2266	-3.83770032079752	-29.7643201686842	4.29390808081363e-09	7.47903257665027e-07	11.8098567547969
11810	145	2	0	A_07_P063454	ECs3774	-3.4368226291513	-29.6595870565172	4.40866734374894e-09	7.47903257665027e-07	11.7853154757509
13884	170	26	0	A_07_P006489	b2904	-3.79337495109793	-29.6478657188298	4.42172534092499e-09	7.47903257665027e-07	11.7825617092998
4259	52	77	0	A_07_P013440	b2476	-4.21590272531405	-29.5483524973343	4.53436709806278e-09	7.53500441278082e-07	11.7591238110372
9422	115	74	0	A_07_P031298	c_0659	-6.55686990587167	-29.4723390934151	4.62259806192473e-09	7.54918083492259e-07	11.7411497555035
1255	16	25	0	A_07_P033821	c_1037	3.76632268706213	29.2816329400546	4.85263627782067e-09	7.74233813299701e-07	11.6957829255658
4651	57	59	0	A_07_P043096	Z4005	-3.96987249637702	-29.1953420418433	4.96096046735639e-09	7.74233813299701e-07	11.6751262182897
13117	160	79	0	A_07_P053399	ECs3296	-6.96290290705179	-29.1756269519702	4.98609191419782e-09	7.74233813299701e-07	11.6703953726502
4632	57	40	0	A_07_P012663	b3238	5.24209354781382	28.9344495617909	5.30548191086756e-09	8.0660020182934e-07	11.612177788883
14834	181	74	0	A_07_P017211	b3654	-5.02445594958394	-28.85815196878	5.41129576035966e-09	8.0660020182934e-07	11.5936268000312
