Gene	RNASeq18MM-1-uP	RNASeq18MM-2-uP	RNASeq18MM-3-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP
ECs0001	6875	9440	15067	2000	1863	2206
ECs0002	24239	22744	43780	3188	2513	3167
ECs0003	7491	8190	12241	1087	983	1227
ECs0004	15946	18097	25440	1854	1888	2498
ECs0005	966	912	1113	400	403	569
ECs0006	5472	6308	6384	2758	2438	2877
ECs0007	1047	918	1469	573	468	534
ECs0008	34031	42530	51055	32724	30044	31374
ECs0009	1741	1798	2532	2123	2029	2569
ECs0010	3332	3833	6400	6925	6599	8340
ECs0012	11	14	15	25	19	20
ECs0011	0	0	0	0	0	0
ECs0013	118	105	171	65	84	73
ECs0014	106943	115092	168214	33431	32047	34615
ECs0015	23037	19327	27377	10240	10632	12921
ECs0016	7157	8579	11781	5729	5439	6556
ECs0017	20124	21134	32996	12324	10429	13356
ECs0018	6625	6602	10757	4266	3549	4489
ECs0019	237	227	374	126	106	152
ECs0020	1	2	2	3	0	2
ECs0021	17	10	29	13	2	14
ECs0022	169	187	251	171	155	187
ECs0023	31	30	52	46	39	27
ECs0024	47	69	92	114	117	122
ECs0025	40	67	103	153	167	149
ECs0026	66335	73145	113050	140600	134165	165987
ECs0027	5828	6402	9013	10116	9338	11037
ECs0028	11400	13578	16740	12694	11109	13402
ECs0029	43868	45856	54136	36276	34721	42849
ECs0030	5294	5547	6293	4660	4555	5461
ECs0031	4402	4431	5073	3271	3598	4011
ECs0032	5574	5285	7182	5351	4825	5649
ECs0033	1378	1285	1811	1266	1182	1559
ECs0034	1884	1194	3100	956	753	769
ECs0035	59125	55652	98882	1103	1094	1150
ECs0036	137499	113421	177593	2209	2362	2659
ECs0037	3085	2853	6223	194	167	217
ECs0038	377	366	727	84	68	80
ECs0039	33	12	61	32	35	20
ECs0040	518	509	807	366	379	380
ECs0041	410	395	641	449	405	383
ECs0042	462	429	550	561	490	665
ECs0043	50	35	97	47	17	30
ECs0044	90	93	140	72	86	116
ECs0045	141	121	194	84	87	86
ECs0046	115	107	158	90	77	91
ECs0047	18	11	22	9	10	14
ECs0048	291	247	391	166	108	125
ECs0049	773	596	599	115	139	204
ECs0050	2561	2312	3455	817	739	903
ECs0051	7442	7833	11879	18074	16495	14793
ECs0052	2867	3089	4818	6060	5570	5242
ECs0053	1817	1991	2747	3026	2965	2729
ECs0054	8547	7835	9485	5760	6046	7289
ECs0055	6907	8252	10128	4917	4573	5088
ECs0056	14728	16496	21083	11642	10660	13030
ECs0057	10729	11070	13591	7322	7164	8615
ECs0058	34650	36952	48356	24293	23211	28782
ECs0059	48273	56804	78923	35768	31765	38072
ECs0060	2215	2358	3312	2515	2251	2823
ECs0061	588	614	899	937	737	955
ECs0062	2895	2741	3861	6393	6393	7822
ECs0063	11937	11741	16904	28587	27441	33682
ECs0064	3508	3497	4155	2269	2060	2448
ECs0065	244	259	272	137	167	224
ECs0066	497	491	629	396	408	465
ECs0067	239	228	266	125	141	258
ECs0068	848	960	1254	277	256	291
ECs0069	3134	2818	3754	2316	2002	2458
ECs0070	1383	1055	990	878	1076	1635
ECs0071	2048	1547	1416	1267	1513	2447
ECs0072	7084	7303	9922	5774	5330	6444
ECs0073	229	215	383	341	184	210
ECs0074	2206	2421	2577	1323	1361	1754
ECs0075	3381	4331	6451	984	835	1186
ECs0076	5134	4801	7242	989	983	1706
ECs0077	5407	5924	7822	1092	1120	1809
ECs0078	6974	7275	11381	1681	1532	2624
ECs0079	338	396	869	81	98	122
ECs0080	111	161	208	103	110	155
ECs0081	4749	3427	7845	1509	948	1215
ECs0082	1667	1724	2791	443	329	448
ECs0083	80	108	165	46	50	56
ECs0084	4802	4752	7787	3035	2470	2990
ECs0085	5175	5409	8043	9251	7840	9196
ECs0086	9260	9629	12859	12435	11851	13880
ECs0087	2138	2355	3476	2999	2584	3110
ECs0088	5632	6369	8777	6417	5970	7390
ECs0089	5874	4792	7133	5450	4777	5885
ECs0090	5554	4662	6649	5252	4866	5874
ECs0091	3023	2239	4758	3746	2402	2577
ECs0092	3475	2461	4541	3609	2780	3043
ECs0093	4084	3953	6780	6097	4381	4993
ECs0094	4580	4017	5961	5199	4732	5125
ECs0095	6574	5322	8816	7473	6070	6649
ECs0096	5934	6242	9181	6125	4885	5494
ECs0097	5928	6285	8789	5799	4768	5267
ECs0098	6395	5003	9642	5856	4337	4633
ECs0099	28642	17945	42726	20034	14618	15508
ECs0100	69290	82147	105986	103850	93828	108298
ECs0101	5383	5997	6431	5879	6246	7987
ECs0102	28352	33909	40288	26489	23569	28539
ECs0103	948	1107	1505	992	922	1176
ECs0104	0	0	0	0	0	0
ECs0105	275	373	470	432	367	390
ECs0106	2605	2697	3884	3158	2680	3196
ECs0107	1367	1600	1846	1762	1693	1793
ECs0108	8539	9350	12022	5209	4988	5507
ECs0109	0	0	0	0	0	0
ECs0110	883	1110	1294	712	705	761
ECs0111	694	765	957	704	712	802
ECs0112	72	103	121	67	73	112
ECs0113	5453	6444	8190	3556	3179	3953
ECs0114	1858	1699	2338	849	787	955
ECs0115	2730	2497	4130	1405	1096	1318
ECs0116	19236	21075	27434	2033	1802	2228
ECs0117	15581	19014	23872	43004	39467	49698
ECs0118	81781	87840	119046	228120	195885	244928
ECs0119	37333	33709	47696	113451	103148	131700
ECs0120	57050	60030	84159	76879	61490	72158
ECs0121	1390	1382	1834	1580	1381	1502
ECs0122	63970	61948	84968	27325	27644	28017
ECs0123	1048	898	1690	971	757	834
ECs0124	10844	10173	19009	12899	11311	12147
ECs0125	15991	14068	26311	21786	17954	20003
ECs0126	4432	5228	7230	3579	3503	4062
ECs0127	7486	5320	8511	1125	949	1116
ECs0128	7268	6627	9076	23578	17143	16638
ECs0129	7794	8288	11612	11759	9741	11087
ECs0130	30676	38468	51628	23409	21082	26060
ECs0131	4180	3792	6241	3931	3148	3288
ECs0132	2837	2628	4425	2783	2084	2147
ECs0133	629	596	989	688	483	598
ECs0134	2326	2497	3467	2690	2336	2669
ECs0135	7375	8969	11700	5760	5289	6324
ECs0136	488	580	912	500	384	440
ECs0137	18774	20364	23719	11381	11526	14077
ECs0138	6181	7303	9231	4572	4497	5159
ECs0139	3123	3982	5189	4052	3752	4305
ECs0140	320	340	396	342	269	313
ECs0141	1100	1290	1627	1143	1062	1129
ECs0142	389	416	449	396	390	452
ECs0143	1175	1320	1628	925	918	908
ECs0144	141	171	138	185	155	147
ECs0145	72	76	98	99	59	82
ECs0146	1552	1614	2366	1371	1491	1604
ECs0147	22534	23412	26232	22321	25627	30955
ECs0148	3335	3736	4834	3835	3777	4066
ECs0149	28805	30365	43662	17723	16280	16104
ECs0150	2286	1334	3766	832	564	681
ECs0151	857	820	907	612	766	913
ECs0152	5071	4908	5627	4816	5027	6282
ECs0153	19229	19661	24238	14839	14147	16906
ECs0154	3581	4091	4183	2011	1801	2244
ECs0155	704	647	617	512	545	667
ECs0156	346	303	442	316	231	323
ECs0157	1031	611	770	483	534	604
ECs0158	16340	15571	17311	7046	8027	9447
ECs0159	3257	2313	4521	1456	1094	1176
ECs0160	4068	3557	6453	3982	2695	3013
ECs0161	1853	2007	2680	3252	2867	3048
ECs0162	2616	2964	3407	3051	2465	2868
ECs0163	10336	11805	14584	7305	6429	7379
ECs0164	2951	3807	4760	1502	1442	1774
ECs0165	25932	27861	32818	10407	8931	11328
ECs0166	1131	1028	1581	636	480	624
ECs0167	8291	10113	14919	2298	2015	2372
ECs0168	14477	18227	23743	5534	5115	6385
ECs0169	9503	10300	13916	5645	4928	6508
ECs0170	10348	12375	15624	10870	10093	11862
ECs0171	292144	340718	452057	483565	425749	463511
ECs0172	115606	125224	182620	187997	161923	180197
ECs0173	23363	22006	34197	17440	15412	18127
ECs0174	38888	46447	60629	35497	33176	36197
ECs0175	4699	5667	6467	4387	3540	3846
ECs0176	28178	27414	43785	46195	35505	39872
ECs0177	14972	13466	22937	24667	18498	20599
ECs0178	30206	26330	46459	41881	32900	38390
ECs0179	96401	97170	147519	114806	96955	112400
ECs0180	58124	65352	92175	58268	51024	61384
ECs0181	34814	36474	49533	43629	40749	50084
ECs0182	16651	18198	25258	25879	22504	26761
ECs0183	25962	25519	33502	31988	32142	40799
ECs0184	14159	13971	18693	14250	13728	17899
ECs0185	3770	3709	4951	5063	4781	5886
ECs0186	29712	24290	34689	31294	30790	37483
ECs0187	24308	23952	34556	24571	22556	27796
ECs0188	4155	3692	6188	2483	1805	2129
ECs0189	1085	820	1295	520	417	501
ECs0190	2461	1915	2362	1737	1809	2233
ECs0191	3729	4495	5866	2004	1630	1943
