logFC	t	P.Value	adj.P.Val	B
ECs3618	-7.00746691781109	-81.9307130571364	5.53142429907925e-12	2.36692170129556e-08	17.525387258934
ECs3619	-7.18590978468761	-76.9898403238339	8.66211052624177e-12	2.36692170129556e-08	17.0549624991109
ECs2303	9.34408795821893	68.6669242292924	1.97617523172847e-11	2.9291643393068e-08	16.7077099817389
ECs3361	-4.53714283751934	-65.0227129304193	2.92767409585198e-11	2.9291643393068e-08	16.6405789961138
ECs3196	-3.71236453856369	-64.9850294541965	2.93993170708588e-11	2.9291643393068e-08	16.725714434146
ECs3605	-6.65309789661629	-64.1809912480894	3.21591693245028e-11	2.9291643393068e-08	16.3616976736654
ECs4441	4.4319841492452	58.9323980921988	5.94700622135462e-11	4.35742488344989e-08	16.1646723531794
ECs2086	-3.72908283347973	-58.3620136079098	6.37866405628529e-11	4.35742488344989e-08	15.9578698180511
ECs3338	-4.1960587336054	-57.2114098223177	7.36256748195823e-11	4.47071458765574e-08	15.8122826839703
ECs4530	-4.82793814640611	-54.1708223309205	1.09110966282979e-10	5.60369107463629e-08	15.3467036957198
ECs3775	-3.96928049007146	-53.9218649678	1.12791586131746e-10	5.60369107463629e-08	15.3612954090139
ECs3774	-3.55381129375087	-51.5269549560261	1.56445949784102e-10	6.28025230727273e-08	15.1770048858568
ECs3326	-4.13918644709942	-51.438997385051	1.58382460166276e-10	6.28025230727273e-08	14.991278505281
ECs2343	3.00431779714881	51.3271361517291	1.60884780058222e-10	6.28025230727273e-08	15.1733316482555
ECs4403	-4.19723992917436	-49.9607976254292	1.95381262899195e-10	7.118390678294e-08	14.7711421506489
ECs3154	-4.53123053590604	-48.5538309878619	2.39989983634739e-10	8.19715787852407e-08	14.711202906104
ECs0036	-5.32171172665853	-47.1323979629688	2.97217551352469e-10	8.5754303027461e-08	14.5560239495655
ECs0601	3.30760313643239	47.0402583361645	3.01433101893715e-10	8.5754303027461e-08	14.4760968982992
ECs3981	-4.01100945967174	-46.7027760430569	3.17465211594733e-10	8.5754303027461e-08	14.4585182817637
ECs2369	3.87959679294146	46.4838550954018	3.28383727146072e-10	8.5754303027461e-08	14.3575350784447
ECs0778	-3.36025982413497	-46.461500774805	3.29522481898752e-10	8.5754303027461e-08	14.4297185133248
ECs4299	-4.37804772522342	-45.9515966488659	3.56758988993214e-10	8.86221761294506e-08	14.2307004801131
ECs3417	-2.60210987785228	-45.1344641807415	4.05926047610237e-10	9.39764168535253e-08	14.2614194529163
gcvB	4.60004120728802	45.0306911668567	4.1270521582518e-10	9.39764168535253e-08	14.2419632550658
ECs2546	-3.58846014507952	-44.7265077388915	4.3333099828837e-10	9.47261562258378e-08	14.1667272523945
ECs3042	-3.78636622225937	-44.3627628980667	4.59552810655621e-10	9.65944657781911e-08	13.9684091465671
ECs0610	-4.66325508329069	-44.0820360951679	4.81027745505687e-10	9.73635788588364e-08	13.731454482967
ECs4851	-3.9719346483383	-43.5389874399217	5.25893520848726e-10	1.02643146122796e-07	14.0041210472856
ECs3440	-3.14395094347028	-42.9638893635327	5.78679024607756e-10	1.08658464613348e-07	13.8913801209893
ECs3606	-7.84172300162459	-42.4862175735906	6.27137008547939e-10	1.08658464613348e-07	13.6810315443997
ECs0035	-5.40147100948156	-42.4190341977179	6.34316124638419e-10	1.08658464613348e-07	13.8007173426206
ECs1683	-4.62245744335423	-42.4011445230534	6.36243525640832e-10	1.08658464613348e-07	13.8014124688042
ECs4293	-3.963817675548	-41.9504101004828	6.87075789775756e-10	1.13783914882561e-07	13.7098943907792
ECs0983	3.87514786048009	41.4704825657389	7.46348436577745e-10	1.14842618039909e-07	13.6467427060857
ECs3979	-3.68907691594615	-41.4509573952652	7.48880284714442e-10	1.14842618039909e-07	13.6495925889684
ECs0779	-3.34899752458264	-41.2024845619821	7.81968692741333e-10	1.14842618039909e-07	13.5902084449483
ECs2438	-3.93781613972822	-40.9934602842265	8.11096386941247e-10	1.14842618039909e-07	13.5627298701867
ECs1652	-3.22680869594269	-40.9433414771599	8.18262754681198e-10	1.14842618039909e-07	13.5314986365681
ECs0116	-2.92034057622589	-40.9343647679674	8.19553907329636e-10	1.14842618039909e-07	13.5580245887771
ECs2084	-4.48569744350483	-40.7120569093795	8.52281052226843e-10	1.15337467082059e-07	13.5117827934346
ECs0539	-3.65975416680994	-40.626342896226	8.652948125095e-10	1.15337467082059e-07	13.484075157603
ECs2445	-4.07320639725927	-40.4281565965309	8.9626015081975e-10	1.1662051724357e-07	13.4659776911244
ECs4305	-4.02099718643071	-40.0001503660505	9.67534276646457e-10	1.22966856322625e-07	13.3101468881375
ECs3776	-3.71847087683302	-39.3116794781964	1.09614874954258e-09	1.29354695878445e-07	13.2683118971477
ECs0397	-5.57241283909743	-39.2535130075557	1.10787808492642e-09	1.29354695878445e-07	13.25620082701
ECs2493	-3.87348395633479	-39.1967607085315	1.11946009796834e-09	1.29354695878445e-07	13.2170443422623
ECs4852	-4.95229974205921	-39.1572500297126	1.12760480181632e-09	1.29354695878445e-07	13.2368877705454
ECs4440	-4.5092429556433	-39.1161742122672	1.13614371494334e-09	1.29354695878445e-07	13.1855270039033
ECs3617	-6.99328390510649	-38.722623792074	1.22179492112588e-09	1.36267535590876e-07	13.1234561061914
ECs1653	-4.47505785782503	-38.3809641806329	1.30214821091482e-09	1.40890193003305e-07	12.92733205392
ECs4761	-2.92078287096325	-38.2272256637875	1.34025495195208e-09	1.40890193003305e-07	13.0695142376573
ECs0585	-2.95791476842687	-38.2259209995981	1.34058372116594e-09	1.40890193003305e-07	13.0642086789241
ECs0396	-5.00802247778626	-37.8326573881704	1.44400203184722e-09	1.47905176500604e-07	12.8911803240838
ECs0982	-5.41619723288298	-37.7694385815044	1.461460115468e-09	1.47905176500604e-07	12.9792283009083
ECs0946	-3.20360013749658	-37.2316284190985	1.62009450723121e-09	1.60978481491247e-07	12.8802052108257
ECs2529	-2.36186627519547	-36.7958406114322	1.76309754844113e-09	1.69248804621597e-07	12.788232380676
ECs3197	-2.87676490822926	-36.7407589307066	1.78217464737772e-09	1.69248804621597e-07	12.7656734728218
ECs3559	-4.4336824089042	-36.6088337087453	1.82882844528728e-09	1.69248804621597e-07	12.4442479478959
ECs0795	-2.79662446898607	-36.5607494184128	1.84617726889757e-09	1.69248804621597e-07	12.7487630644136
ECs4929	-4.2395527624051	-36.5277951051787	1.85817534808707e-09	1.69248804621597e-07	12.7416040472623
ECs0853	-5.67839602781148	-36.4248111056436	1.89624575345533e-09	1.69884967912023e-07	12.6579533802787
ECs1654	-5.09077360596372	-36.0722990138821	2.03344193016503e-09	1.79238066908901e-07	12.4975583824582
ECs4260	-2.64078763967822	-35.7266816676512	2.17902350754153e-09	1.89021642360547e-07	12.5773546962617
ECs3327	-3.8019460876876	-35.5702519653768	2.24878797801098e-09	1.92025410934844e-07	12.552682845924
ECs2900	-4.90846101396345	-35.3946480341661	2.330150074689e-09	1.95911848587314e-07	12.5172820251877
ECs4275	-2.35224859287578	-34.9706916895758	2.54076086095357e-09	2.05256117295012e-07	12.4203837295693
ECs3125	-4.67694169364676	-34.928110926839	2.56308539139341e-09	2.05256117295012e-07	12.3711352542093
ECs2602	-3.26805732665231	-34.8874376352563	2.58461849240996e-09	2.05256117295012e-07	12.4134980748483
ECs3124	-2.81815140038189	-34.8744778524544	2.59152279841826e-09	2.05256117295012e-07	12.4106640937671
ECs2528	-2.49434239410082	-34.5060131679938	2.79688582756949e-09	2.18356872109533e-07	12.3198913368151
ECs3702	4.40481336210034	34.4090372683148	2.85397161453279e-09	2.19249105155322e-07	12.3138027868891
ECs0600	2.89509732860954	34.3513605990541	2.8885517971058e-09	2.19249105155322e-07	12.2998740325455
ECs2892	-3.01382017716773	-34.2242007087187	2.96648825477528e-09	2.22080250854067e-07	12.2757369947151
ECs4111	5.21167150915615	34.0170777665017	3.09861285112153e-09	2.28836746369989e-07	12.2324297634655
ECs4113	3.25989504305442	33.8079090608985	3.23888050954785e-09	2.3564433858536e-07	12.1870418456114
ECs4274	-2.30827053402049	-33.7196202876035	3.3002444257234e-09	2.3564433858536e-07	12.143634537339
ECs2527	-2.91397238706229	-33.6913827109699	3.32014896085502e-09	2.3564433858536e-07	12.1436061879055
ECs0957	-4.21434988642061	-33.6076728184474	3.37996302528882e-09	2.3681407606671e-07	12.1423575935375
ECs2605	-3.81538173018248	-33.4854473503641	3.46951321069885e-09	2.40011261980623e-07	12.114934375486
ECs5124	-1.70949828165055	-33.3551653391804	3.56795136850105e-09	2.42233698440428e-07	11.9725819243216
ECs4269	-5.27954123442029	-33.2984059449128	3.61182839581554e-09	2.42233698440428e-07	12.045970252942
ECs0749	-3.57874795464391	-33.2692396051782	3.63461359050596e-09	2.42233698440428e-07	12.0683952116209
ECs0746	-3.8988491044715	-33.1791976267924	3.70599423193892e-09	2.42507914837385e-07	12.0461800240535
ECs4273	-2.18614813742491	-33.1524836069341	3.72747755651242e-09	2.42507914837385e-07	11.9947195361542
ECs0751	-3.65439461785855	-33.0638009208638	3.7998184458924e-09	2.43404707745077e-07	12.0056485690421
ECs0681	-3.0886004688437	-33.0269597510818	3.83033940824824e-09	2.43404707745077e-07	12.0196237995717
ECs0694	-2.76565994462293	-32.8588092781847	3.97323233904593e-09	2.49582927964207e-07	11.9532249107515
ECs4404	-3.09023246805995	-32.4463314292146	4.35017532899e-09	2.6875211848345e-07	11.8925375693664
ECs0748	-3.99823535806125	-32.4187992074987	4.37674996249351e-09	2.6875211848345e-07	11.8691360977451
ECs0389	-4.2351024346726	-32.2367150043377	4.55722354547393e-09	2.76724740844611e-07	11.8461624761619
ECs0118	1.77467871869084	32.0230740151286	4.77986364076828e-09	2.86705936645565e-07	11.6476587824139
ECs1479	1.96077223392813	31.9797357191411	4.82652262971491e-09	2.86705936645565e-07	11.6797786413273
ECs4309	-4.723172840228	-31.9182255607257	4.8936382279548e-09	2.87264059423599e-07	11.7760692970925
ECs3294	-5.31139484368289	-31.8753519549871	4.94104695074444e-09	2.87264059423599e-07	11.74955193215
ECs5222	-4.14929163273995	-31.7297379785636	5.10600881987469e-09	2.9025457326554e-07	11.7228294201913
ECs5028	-3.21185290388466	-31.7268665077795	5.10932424405531e-09	2.9025457326554e-07	11.7015816150086
ECs3286	-5.33696118882381	-31.6902482155606	5.15181950718341e-09	2.9025457326554e-07	11.6540165724945
ECs1603	-1.6503988818764	-31.4476745909715	5.44369570306896e-09	3.03569357319101e-07	11.5517881887162
ECs4132	2.40047953562309	31.3208495482326	5.60375976105464e-09	3.09338859537006e-07	11.4659085717041
ECs0612	-4.81752993227474	-31.2059314894665	5.75343329756742e-09	3.14425129712059e-07	11.5763942898842
ECs5180	2.42696495375523	30.9419460229344	6.11480145609134e-09	3.28507164850493e-07	11.5454010937007
ECs5130	-3.10031550107891	-30.9129945274061	6.15598102388258e-09	3.28507164850493e-07	11.5465235743565
ECs3971	-2.3261107400088	-30.8235511388061	6.28520880856602e-09	3.28507164850493e-07	11.4960179183315
ECs3546	2.65269928632778	30.8105912879227	6.30418796737173e-09	3.28507164850493e-07	11.4259931584425
ECs3193	-2.75207863693345	-30.793084092046	6.32993013630994e-09	3.28507164850493e-07	11.4927355307121
ECs0752	-3.52865023379466	-30.7647964936777	6.37177666498669e-09	3.28507164850493e-07	11.4831987187511
ECs3604	-5.93969844939344	-30.6991678829056	6.47008032245385e-09	3.30071291441067e-07	11.4495020956459
ECs5241	-3.38415975161016	-30.6399731671664	6.56022887172146e-09	3.30071291441067e-07	11.4836974492917
ECs1711	1.99381787049954	30.6249681821272	6.58330663624452e-09	3.30071291441067e-07	11.3888293568962
ECs3695	-3.61896308343212	-30.373939962297	6.98342143594274e-09	3.46527895538808e-07	11.4034658390273
ECs2601	-3.09108522456592	-30.3291747220618	7.05764289758734e-09	3.46527895538808e-07	11.390467365475
ECs0613	-3.45570322882731	-30.3028187264954	7.10176107966085e-09	3.46527895538808e-07	11.401902264086
ECs1722	-3.12335459885939	-30.0340502062854	7.57003616579154e-09	3.66108386248237e-07	11.3400097417749
ECs0732	-3.14571491945043	-29.9761349528127	7.67548385527446e-09	3.67951923412938e-07	11.3253601620792
ECs2812	2.71837739592211	29.9008648672107	7.81503607989406e-09	3.71384105883661e-07	11.2905966518123
ECs2304	3.48296616943345	29.8338983766645	7.94162350246048e-09	3.73652119145343e-07	11.2027046112564
ECs3547	2.89777795702417	29.8036813456086	7.99950556999179e-09	3.73652119145343e-07	11.2210142846602
ECs0538	-4.22113918250514	-29.7156219188494	8.17094344730089e-09	3.74123247089338e-07	11.2630349028839
ECs0754	-3.18151803002531	-29.7126907476218	8.17672143435053e-09	3.74123247089338e-07	11.2344735578227
ECs3018	-2.78377939594434	-29.6933484669046	8.21496608430386e-09	3.74123247089338e-07	11.2481690652016
ECs0745	-3.14628328473128	-29.5091256443985	8.58960198915006e-09	3.87951858435579e-07	11.1624390392057
ECs0540	-4.23334668001737	-29.2589545532423	9.1298792429288e-09	4.08973689037753e-07	11.1283270972656
ECs2429	-2.59803767330212	-29.039302572997	9.63628885603615e-09	4.25041941939374e-07	11.0795509952986
ECs4693	-2.54467300629008	-29.026375432235	9.66707389335175e-09	4.25041941939374e-07	11.0206819188762
ECs3984	-2.43910699629157	-29.0034640829168	9.72191084033334e-09	4.25041941939374e-07	11.0833554268601
ECs0395	-4.68401438621702	-28.9140056793108	9.93943863589176e-09	4.31103429723401e-07	11.0634009701798
ECs3293	-5.95930366436726	-28.8719239214202	1.0043675969634e-08	4.32194402945275e-07	11.0513928868462
ECs1491	-3.40548359816912	-28.7413614124751	1.03750817192716e-08	4.4296735621734e-07	11.0089314735921
ECs3295	-5.82858262352931	-28.6805533077335	1.05336636217117e-08	4.44677966704335e-07	11.0112180416311
ECs4793	1.55776411991279	28.6637825800834	1.05778839289229e-08	4.44677966704335e-07	10.759340664597
ECs5205	-2.89566018427948	-28.5295928453485	1.0939413910744e-08	4.56365626123785e-07	10.972332351563
ECs0119	2.110509345537	28.4343175107944	1.12046381433891e-08	4.63888995860766e-07	10.7559659831255
ECs1054	-3.01173222874194	-28.2677406931347	1.16861169848703e-08	4.80185182874558e-07	10.7842485521654
ECs0526	-1.82227536011272	-28.18854885081	1.19232391151665e-08	4.85996371346748e-07	10.7564197946941
ECs2559	-3.53772099455984	-28.1615266078661	1.20053998411365e-08	4.85996371346748e-07	10.8478634056395
ECs3520	-4.19885209006434	-28.1031527533617	1.21850922995618e-08	4.89643598655187e-07	10.7372119562652
ECs0383	-4.55463900644126	-27.9830851574896	1.25643990645677e-08	4.9868698160411e-07	10.8040342285652
ECs4276	-2.08737024633939	-27.9380825343836	1.27100138002328e-08	4.9868698160411e-07	10.757432198944
ECs0893	2.06799961425365	27.9212219448152	1.27650630743368e-08	4.9868698160411e-07	10.7634259588481
ECs2022	-3.96857015029574	-27.9181424367974	1.27751468297485e-08	4.9868698160411e-07	10.7539771772215
ECs0922	2.14536724795157	27.878791276672	1.29048018466382e-08	5.00175475828922e-07	10.7598806651343
ECs2492	-3.817621142473	-27.8364887212563	1.30458533031757e-08	5.0197479605041e-07	10.725054037025
ECs1158	-2.36317375044313	-27.7756264461124	1.32518765507411e-08	5.0197479605041e-07	10.7519787665909
ECs5221	-4.35883330602861	-27.7676255530496	1.3279234370581e-08	5.0197479605041e-07	10.7657571507529
ECs2071	-3.18576117054231	-27.7372250568962	1.33837715388536e-08	5.0197479605041e-07	10.744458507965
ECs5116	-2.08541763172688	-27.729498775684	1.34104886044574e-08	5.0197479605041e-07	10.7162924806855
ECs3272	-1.87172008014455	-27.6553427417037	1.3670024785521e-08	5.08208744577362e-07	10.6015761093898
ECs4304	-3.35778840888848	-27.5253789210941	1.41387829457053e-08	5.2208411350189e-07	10.7174436177054
ECs2431	-1.77894814224582	-27.3543452543056	1.4783794939886e-08	5.42237847962931e-07	10.5557999646434
ECs0945	-2.84485647414222	-27.3185678234662	1.49229158189646e-08	5.43691566337609e-07	10.6307064587209
ECs4091	-2.91258299569179	-27.2593787515163	1.51563551990468e-08	5.48539610349609e-07	10.5113451912514
ECs0003	-2.50534800946794	-27.1909164467051	1.54315646328103e-08	5.54825662620449e-07	10.5775912506527
ECs4063	2.05532313631677	27.1598144546342	1.55584648418228e-08	5.55732093859879e-07	10.4658124006756
ECs4214	-2.16049422368101	-27.0471673755546	1.60281165950944e-08	5.68789981767472e-07	10.5058930863026
ECs1155	-3.25442317557533	-27.0003509822394	1.62280323541277e-08	5.72169011711665e-07	10.5347357275511
ECs4277	-2.15090351241252	-26.9739442804186	1.63420446575828e-08	5.72495346498012e-07	10.458507499105
ECs1145	3.75446175002367	26.9088691949307	1.66269192825378e-08	5.78765056554581e-07	10.4269543940886
ECs0440	-2.54681828449519	-26.7850238417162	1.71848127757939e-08	5.90795143745839e-07	10.4721479363648
ECs0872	-2.87217209538426	-26.7841697734614	1.71887333679027e-08	5.90795143745839e-07	10.5037834418923
ECs4044	1.50027616838506	26.7442530664648	1.73731105192526e-08	5.91751601651432e-07	10.2426596446772
ECs2508	-3.12479696829512	-26.7313648714973	1.74331212929333e-08	5.91751601651432e-07	10.479296746783
ECs0619	-2.61338290713959	-26.6887649485734	1.76331615011946e-08	5.94847083975484e-07	10.4764436250183
ECs5089	-3.54580148407583	-26.5876802251394	1.81183674586314e-08	6.02950903680086e-07	10.4684967570407
ECs0947	-2.53940647269901	-26.5830707562827	1.81408522245366e-08	6.02950903680086e-07	10.3822023249511
ECs4133	2.23292020597837	26.5700837383205	1.82043731211737e-08	6.02950903680086e-07	10.2351293336547
ECs2666	-3.14125626438528	-26.46968097446	1.87040812716204e-08	6.15769904514491e-07	10.3372136365532
ECs0379	-2.09989332342005	-26.4375748971697	1.886715260322e-08	6.17419095668247e-07	10.3377065241669
ECs4424	-2.79770448368236	-26.3751649989346	1.91887894378582e-08	6.24206751654136e-07	10.3034141634987
ECs2082	-2.47427675735782	-26.3423987281712	1.93601479319232e-08	6.26054487857752e-07	10.2514890127739
ECs0747	-4.12786850746141	-26.1617936716853	2.03364753429818e-08	6.51857619097103e-07	10.3433625331065
ECs2604	-2.93476667068363	-26.1321230309037	2.05021684203973e-08	6.51857619097103e-07	10.2711006165036
ECs1741	-1.49455195672904	-26.1296725504767	2.05159214061668e-08	6.51857619097103e-07	10.0771872663115
ECs5197	-2.42310158810101	-26.0255861158124	2.11098961688914e-08	6.65045472023977e-07	10.2527579596582
ECs0390	-3.26266212843094	-26.006729843092	2.12195802315623e-08	6.65045472023977e-07	10.2100348690131
ECs3949	1.38281379170441	25.9936476594031	2.12960581160468e-08	6.65045472023977e-07	10.0685658426944
ECs3186	-2.95918043151133	-25.9578792070842	2.15067641539149e-08	6.67809466483778e-07	10.2985511767871
ECs1376	2.31202818605846	25.9223183797466	2.17186004650517e-08	6.67947856370912e-07	10.2674941279699
ECs5137	2.21298575818477	25.8980390403845	2.18645959327237e-08	6.67947856370912e-07	10.2260183117652
ECs4182	1.36046648994713	25.8958374509803	2.18778895316364e-08	6.67947856370912e-07	9.93372405723123
ECs3980	-4.09299594828241	-25.8732403728385	2.20148674640442e-08	6.68395837172229e-07	10.1854891506382
ECs3362	-3.65396058408528	-25.7311009862258	2.28991808919841e-08	6.91403445164052e-07	10.1362683401262
