Gene	RNASeq18MM-1P	RNASeq18MM-2P	RNASeq18MM-3P	RNASeq18LL-1P	RNASeq18LL-2P	RNASeq18LL-3P
ECs0001	6884	9454	15086	2001	1865	2211
ECs0002	24275	22785	43846	3194	2516	3172
ECs0003	7498	8197	12250	1087	984	1233
ECs0004	15961	18116	25479	1856	1892	2502
ECs0005	967	913	1115	400	404	569
ECs0006	5479	6314	6388	2760	2441	2881
ECs0007	1049	920	1472	572	469	536
ECs0008	34072	42576	51119	32765	30081	31409
ECs0009	1741	1800	2535	2123	2031	2571
ECs0010	3336	3834	6403	6929	6606	8349
ECs0012	11	14	15	25	20	20
ECs0011	0	0	0	0	0	0
ECs0013	118	105	171	65	84	74
ECs0014	107030	115176	168384	33430	32057	34636
ECs0015	23070	19343	27402	10258	10639	12930
ECs0016	7202	8623	11838	5749	5475	6583
ECs0017	20147	21163	33020	12336	10437	13369
ECs0018	6634	6608	10767	4269	3551	4494
ECs0019	237	227	374	126	106	152
ECs0020	1	2	2	2	0	2
ECs0021	17	10	29	13	2	14
ECs0022	169	187	251	172	155	187
ECs0023	31	30	52	46	40	27
ECs0024	46	70	92	114	117	122
ECs0025	40	67	103	153	168	149
ECs0026	66386	73202	113143	140718	134264	166113
ECs0027	5834	6403	9024	10125	9344	11045
ECs0028	11408	13587	16759	12707	11120	13411
ECs0029	43915	45899	54187	36318	34763	42902
ECs0030	5301	5557	6303	4663	4567	5467
ECs0031	4410	4439	5080	3271	3603	4018
ECs0032	5581	5289	7188	5355	4831	5659
ECs0033	1380	1285	1815	1268	1184	1561
ECs0034	1887	1197	3103	956	754	769
ECs0035	59177	55702	98983	1102	1096	1152
ECs0036	137638	113496	177773	2211	2359	2665
ECs0037	3087	2855	6222	194	168	217
ECs0038	378	366	728	84	68	80
ECs0039	33	13	61	32	35	20
ECs0040	520	509	807	366	380	380
ECs0041	410	395	641	449	405	383
ECs0042	462	431	551	561	490	665
ECs0043	50	35	98	47	17	30
ECs0044	90	93	140	72	86	116
ECs0045	141	122	194	84	87	86
ECs0046	116	107	158	90	78	91
ECs0047	18	11	22	9	10	14
ECs0048	292	247	392	166	108	125
ECs0049	773	596	599	115	140	204
ECs0050	2562	2315	3461	818	739	903
ECs0051	7447	7837	11900	18100	16509	14810
ECs0052	2868	3089	4821	6064	5573	5243
ECs0053	1820	1993	2748	3030	2965	2729
ECs0054	8552	7844	9494	5763	6052	7296
ECs0055	6911	8258	10136	4925	4581	5090
ECs0056	14740	16519	21102	11650	10673	13049
ECs0057	10746	11085	13605	7330	7174	8633
ECs0058	34689	36978	48407	24315	23237	28807
ECs0059	48314	56852	78996	35806	31788	38113
ECs0060	2212	2358	3318	2522	2252	2825
ECs0061	588	615	899	937	738	958
ECs0062	2895	2743	3861	6398	6398	7832
ECs0063	11947	11756	16926	28615	27473	33709
ECs0064	3512	3505	4161	2272	2065	2453
ECs0065	244	259	272	137	167	225
ECs0066	499	491	629	396	408	465
ECs0067	240	228	266	125	143	259
ECs0068	850	963	1256	277	256	292
ECs0069	3138	2826	3759	2319	2005	2462
ECs0070	1386	1059	991	878	1079	1636
ECs0071	2051	1547	1416	1267	1515	2453
ECs0072	7100	7322	9946	5786	5336	6457
ECs0073	229	215	383	341	184	210
ECs0074	2209	2427	2580	1323	1363	1754
ECs0075	3385	4341	6459	985	835	1188
ECs0076	5135	4806	7250	991	984	1709
ECs0077	5408	5928	7832	1093	1121	1811
ECs0078	6979	7281	11391	1682	1535	2630
ECs0079	338	396	869	81	98	122
ECs0080	111	161	208	103	110	155
ECs0081	4756	3433	7851	1509	948	1217
ECs0082	1668	1727	2794	443	328	449
ECs0083	80	108	165	46	50	57
ECs0084	4808	4758	7792	3037	2476	2993
ECs0085	5177	5413	8049	9256	7847	9216
ECs0086	9271	9635	12879	12443	11864	13899
ECs0087	2139	2357	3476	3004	2586	3111
ECs0088	5637	6373	8786	6426	5973	7401
ECs0089	5878	4797	7139	5454	4781	5892
ECs0090	5557	4665	6651	5255	4868	5882
ECs0091	3026	2242	4762	3749	2406	2578
ECs0092	3476	2461	4544	3613	2784	3044
ECs0093	4089	3957	6791	6098	4385	4998
ECs0094	4584	4018	5968	5206	4738	5129
ECs0095	6582	5331	8835	7481	6080	6656
ECs0096	5936	6243	9192	6131	4889	5497
ECs0097	5931	6291	8794	5806	4773	5271
ECs0098	6402	5011	9651	5859	4344	4635
ECs0099	28678	17960	42772	20051	14630	15531
ECs0100	69340	82212	106085	103941	93927	108404
ECs0101	5390	6004	6440	5883	6254	7999
ECs0102	28379	33933	40323	26510	23595	28557
ECs0103	946	1107	1505	993	925	1176
ECs0104	0	0	0	0	0	0
ECs0105	277	373	470	431	367	390
ECs0106	2607	2699	3890	3163	2684	3199
ECs0107	1366	1602	1849	1764	1697	1793
ECs0108	8546	9358	12039	5218	4988	5513
ECs0109	0	0	0	0	0	0
ECs0110	883	1112	1295	713	705	761
ECs0111	694	765	958	705	714	801
ECs0112	72	103	121	67	73	112
ECs0113	5457	6448	8196	3559	3184	3955
ECs0114	1860	1701	2340	849	788	958
ECs0115	2731	2502	4135	1404	1097	1320
ECs0116	19252	21085	27458	2038	1803	2229
ECs0117	15596	19032	23895	43052	39500	49747
ECs0118	81856	87933	119179	228348	196080	245182
ECs0119	37363	33735	47745	113564	103256	131860
ECs0120	57105	60088	84249	76974	61548	72253
ECs0121	1390	1385	1838	1581	1382	1505
ECs0122	64001	61995	85045	27341	27620	28018
ECs0123	1049	899	1692	972	758	835
ECs0124	10853	10185	19029	12909	11325	12158
ECs0125	16006	14084	26334	21797	17967	20032
ECs0126	4435	5232	7234	3580	3509	4065
ECs0127	7491	5329	8518	1125	950	1117
ECs0128	7272	6631	9085	23614	17156	16657
ECs0129	7797	8292	11625	11769	9748	11097
ECs0130	30706	38498	51673	23437	21105	26093
ECs0131	4182	3794	6246	3931	3149	3294
ECs0132	2840	2629	4431	2786	2086	2150
ECs0133	629	597	989	690	483	598
ECs0134	2330	2504	3471	2691	2340	2670
ECs0135	7381	8977	11709	5765	5296	6328
ECs0136	488	580	912	500	384	442
ECs0137	18800	20378	23743	11394	11540	14093
ECs0138	6190	7312	9246	4574	4500	5163
ECs0139	3124	3984	5195	4056	3755	4306
ECs0140	320	340	397	342	269	313
