Gene	logFC	t	P.Value	adj.P.Val	B
ECs3618	-7.007466918	-81.93071306	5.53E-12	2.37E-08	17.52538726
ECs3619	-7.185909785	-76.98984032	8.66E-12	2.37E-08	17.0549625
ECs2303	9.344087958	68.66692423	1.98E-11	2.93E-08	16.70770998
ECs3361	-4.537142838	-65.02271293	2.93E-11	2.93E-08	16.640579
ECs3196	-3.712364539	-64.98502945	2.94E-11	2.93E-08	16.72571443
ECs3605	-6.653097897	-64.18099125	3.22E-11	2.93E-08	16.36169767
ECs4441	4.431984149	58.93239809	5.95E-11	4.36E-08	16.16467235
ECs2086	-3.729082833	-58.36201361	6.38E-11	4.36E-08	15.95786982
ECs3338	-4.196058734	-57.21140982	7.36E-11	4.47E-08	15.81228268
ECs4530	-4.827938146	-54.17082233	1.09E-10	5.60E-08	15.3467037
ECs3775	-3.96928049	-53.92186497	1.13E-10	5.60E-08	15.36129541
ECs3774	-3.553811294	-51.52695496	1.56E-10	6.28E-08	15.17700489
ECs3326	-4.139186447	-51.43899739	1.58E-10	6.28E-08	14.99127851
ECs2343	3.004317797	51.32713615	1.61E-10	6.28E-08	15.17333165
ECs4403	-4.197239929	-49.96079763	1.95E-10	7.12E-08	14.77114215
ECs3154	-4.531230536	-48.55383099	2.40E-10	8.20E-08	14.71120291
ECs0036	-5.321711727	-47.13239796	2.97E-10	8.58E-08	14.55602395
ECs0601	3.307603136	47.04025834	3.01E-10	8.58E-08	14.4760969
ECs3981	-4.01100946	-46.70277604	3.17E-10	8.58E-08	14.45851828
ECs2369	3.879596793	46.4838551	3.28E-10	8.58E-08	14.35753508
ECs0778	-3.360259824	-46.46150077	3.30E-10	8.58E-08	14.42971851
ECs4299	-4.378047725	-45.95159665	3.57E-10	8.86E-08	14.23070048
ECs3417	-2.602109878	-45.13446418	4.06E-10	9.40E-08	14.26141945
gcvB	4.600041207	45.03069117	4.13E-10	9.40E-08	14.24196326
ECs2546	-3.588460145	-44.72650774	4.33E-10	9.47E-08	14.16672725
ECs3042	-3.786366222	-44.3627629	4.60E-10	9.66E-08	13.96840915
ECs0610	-4.663255083	-44.0820361	4.81E-10	9.74E-08	13.73145448
ECs4851	-3.971934648	-43.53898744	5.26E-10	1.03E-07	14.00412105
ECs3440	-3.143950943	-42.96388936	5.79E-10	1.09E-07	13.89138012
ECs3606	-7.841723002	-42.48621757	6.27E-10	1.09E-07	13.68103154
ECs0035	-5.401471009	-42.4190342	6.34E-10	1.09E-07	13.80071734
ECs1683	-4.622457443	-42.40114452	6.36E-10	1.09E-07	13.80141247
ECs4293	-3.963817676	-41.9504101	6.87E-10	1.14E-07	13.70989439
ECs0983	3.87514786	41.47048257	7.46E-10	1.15E-07	13.64674271
ECs3979	-3.689076916	-41.4509574	7.49E-10	1.15E-07	13.64959259
ECs0779	-3.348997525	-41.20248456	7.82E-10	1.15E-07	13.59020844
ECs2438	-3.93781614	-40.99346028	8.11E-10	1.15E-07	13.56272987
ECs1652	-3.226808696	-40.94334148	8.18E-10	1.15E-07	13.53149864
ECs0116	-2.920340576	-40.93436477	8.20E-10	1.15E-07	13.55802459
ECs2084	-4.485697444	-40.71205691	8.52E-10	1.15E-07	13.51178279
ECs0539	-3.659754167	-40.6263429	8.65E-10	1.15E-07	13.48407516
ECs2445	-4.073206397	-40.4281566	8.96E-10	1.17E-07	13.46597769
ECs4305	-4.020997186	-40.00015037	9.68E-10	1.23E-07	13.31014689
ECs3776	-3.718470877	-39.31167948	1.10E-09	1.29E-07	13.2683119
ECs0397	-5.572412839	-39.25351301	1.11E-09	1.29E-07	13.25620083
ECs2493	-3.873483956	-39.19676071	1.12E-09	1.29E-07	13.21704434
ECs4852	-4.952299742	-39.15725003	1.13E-09	1.29E-07	13.23688777
ECs4440	-4.509242956	-39.11617421	1.14E-09	1.29E-07	13.185527
ECs3617	-6.993283905	-38.72262379	1.22E-09	1.36E-07	13.12345611
ECs1653	-4.475057858	-38.38096418	1.30E-09	1.41E-07	12.92733205
