FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	11190.3	340.174	1.86E+03	1.86E+02	1528	46	1.50E+01	0	0	0	0	0	0	1511.2	1	1	50.7771	49.885
DATA	2	1	2	66	1	DarkCorner	DarkCorner	11233	340	4.17E+00	4.20E+00	48.5	48	1.62E+01	0	0	0	0	0	0	-8.29442	0	0	65	51.9583
DATA	3	1	3	66	1	DarkCorner	DarkCorner	11275.2	340.044	4.21E+00	4.24E+00	53	50	1.66E+01	0	0	0	0	0	0	-5.65629	0	0	54.2679	52.8257
DATA	4	1	4	66	-1	(-)3xSLv1	NegativeControl	11318.8	338.607	4.24E+00	4.28E+00	50	49	1.67E+01	0	0	0	0	0	0	-5.89983	0	0	65	52.2513
DATA	5	1	5	0	0	A_07_P030071	c_2962	11359.9	340.413	1.08E+02	1.17E+01	140	49	1.65E+01	0	0	0	0	0	0	85.2435	1	1	43.6144	52.5567
DATA	6	1	6	66	-1	(-)3xSLv1	NegativeControl	11402.3	340.421	4.30E+00	4.33E+00	54	48	1.63E+01	0	0	0	0	0	0	-4.48112	0	0	56.6442	52.1924
DATA	7	1	7	66	-1	(-)3xSLv1	NegativeControl	11446.3	339.112	4.32E+00	4.36E+00	55	49	1.65E+01	0	0	0	0	0	0	-0.979506	0	0	36.3016	52.6982
DATA	8	1	8	0	0	A_07_P046244	Z4877	11487	340.165	1.68E+02	1.73E+01	194	49	1.65E+01	0	0	0	0	0	0	129.807	1	1	46.2911	52.483
DATA	9	1	9	0	0	A_07_P010256	b0018	11529	340.067	1.35E+03	1.35E+02	1078	49	1.65E+01	0	0	0	0	0	0	1041.8	1	1	46.7835	52.391
DATA	10	1	10	0	0	A_07_P007924	b0242	11571.4	340.307	4.61E+03	4.61E+02	3537	49	1.62E+01	0	0	0	0	0	0	3546.97	1	1	47.9926	52.7221
DATA	11	1	11	0	0	A_07_P033036	c_3566	11613.9	340.44	4.36E+00	4.40E+00	55	50	1.67E+01	0	0	0	0	0	0	0.032165	0	0	65	53.4591
DATA	12	1	12	0	0	A_07_P062362	ECs1250	11655.6	339.952	9.76E+01	1.07E+01	132.5	50	1.67E+01	0	0	0	0	0	0	74.9517	1	1	43.6144	53.1809
DATA	13	1	13	66	-1	(-)3xSLv1	NegativeControl	11699.2	339.874	4.37E+00	4.41E+00	57	49	1.64E+01	0	0	0	0	0	0	-0.401417	0	0	65	52.5073
DATA	14	1	14	0	0	A_07_P043700	Z0412	11740.8	340.447	3.41E+02	3.44E+01	318.5	49	1.60E+01	0	0	0	0	0	0	262.494	1	1	50.4374	52.4533
