FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	11190.4	4447.67	8.96E+02	8.99E+01	1006	48	1.56E+01	0	0	0	0	0	0	929.506	1	1	52.4423	51.3613
DATA	2	1	2	66	1	DarkCorner	DarkCorner	11232.8	4447.44	7.68E+00	7.74E+00	71.5	49	1.65E+01	0	0	0	0	0	0	-4.60915	0	0	56.7452	52.5424
DATA	3	1	3	66	1	DarkCorner	DarkCorner	11275.1	4447.45	7.70E+00	7.77E+00	81.5	51	1.75E+01	0	0	0	0	0	0	2.50271	0	0	56.2381	54.5964
DATA	4	1	4	66	-1	(-)3xSLv1	NegativeControl	11317.4	4447.5	7.72E+00	7.79E+00	64	50	1.80E+01	0	0	0	0	0	0	-12.3543	0	0	56.6442	54.5443
DATA	5	1	5	0	0	A_07_P030071	c_2962	11359.5	4447.77	2.00E+02	2.15E+01	274.5	48	1.69E+01	0	0	0	0	0	0	205.519	1	1	47.5127	52.2543
DATA	6	1	6	66	-1	(-)3xSLv1	NegativeControl	11402	4447.5	6.82E+01	1.04E+01	124.5	49	1.64E+01	0	0	0	1	0	0	69.9556	1	1	56.2381	52.5798
DATA	7	1	7	66	-1	(-)3xSLv1	NegativeControl	11444.5	4447.01	3.39E+01	8.51E+00	111	49	1.58E+01	0	0	0	1	0	0	34.7252	1	0	43.6144	52.2353
DATA	8	1	8	0	0	A_07_P046244	Z4877	11486.7	4447.55	4.74E+02	4.80E+01	556.5	48	1.67E+01	0	0	0	0	0	0	485.546	1	1	49.172	52.0835
DATA	9	1	9	0	0	A_07_P010256	b0018	11529.3	4447.38	1.35E+03	1.35E+02	1427	50	1.68E+01	0	0	0	0	0	0	1386.43	1	1	51.3382	52.8538
DATA	10	1	10	0	0	A_07_P007924	b0242	11571.6	4447.6	3.79E+03	3.79E+02	3845	49	1.64E+01	0	0	0	0	0	0	3888.16	1	1	52.0035	52.2581
