"subject"	"query.name"	"logFC.x"	"logFC.y"	"t"	"P.Value"	"adj.P.Val"	"B"
"1"	"ECs0002"	"A_07_P010704"	-2.86814319548253	-2.751729401	-19.53875515	1.63e-07	2.52e-06	7.957912384
"2"	"ECs0003"	"A_07_P010710"	-2.74750955130657	-2.505348009	-27.19091645	1.54e-08	5.55e-07	10.57759125
"3"	"ECs0004"	"A_07_P035606"	-2.63107130700704	-2.688963128	-24.66715325	3.1e-08	8.34e-07	9.794545114
"4"	"ECs0004"	"A_07_P010711"	-2.27919614537207	-2.688963128	-24.66715325	3.1e-08	8.34e-07	9.794545114
"5"	"ECs0004"	"A_07_P049101"	-2.28614361424366	-2.688963128	-24.66715325	3.1e-08	8.34e-07	9.794545114
"6"	"ECs0004"	"A_07_P059371"	-2.37007729849764	-2.688963128	-24.66715325	3.1e-08	8.34e-07	9.794545114
"7"	"ECs0005"	"A_07_P035617"	0.560530075640059	-0.58371857	-4.055600269	0.004534703	0.009932727	-3.081178914
"8"	"ECs0005"	"A_07_P051852"	-1.13732852551196	-0.58371857	-4.055600269	0.004534703	0.009932727	-3.081178914
"9"	"ECs0005"	"A_07_P062882"	-1.20670353519757	-0.58371857	-4.055600269	0.004534703	0.009932727	-3.081178914
"10"	"ECs0005"	"A_07_P010719"	-1.232310627364	-0.58371857	-4.055600269	0.004534703	0.009932727	-3.081178914
"11"	"ECs0006"	"A_07_P010722"	-0.21823678744026	-0.614843795	-5.023041135	0.00139226	0.003560459	-2.058947077
"12"	"ECs0007"	"A_07_P035628"	-0.259836588221863	-0.554149474	-5.335733993	0.000978134	0.002601219	-1.425408853
"13"	"ECs0007"	"A_07_P010729"	0.367508289587405	-0.554149474	-5.335733993	0.000978134	0.002601219	-1.425408853
"14"	"ECs0008"	"A_07_P010731"	0.951276064598884	0.128447778	1.429612243	0.194648641	0.264024528	-7.417268698
"15"	"ECs0009"	"A_07_P010739"	0.626454350014318	0.708309952	8.146561557	6.85e-05	0.000269253	1.37233914
"16"	"ECs0010"	"A_07_P010741"	1.09562012064946	1.282672939	10.37661078	1.35e-05	6.99e-05	3.06118257
"17"	"ECs0012"	"A_07_P010746"	-0.196296466273287	1.240638759	4.182597759	0.003853014	0.008665318	-1.848802407
"18"	"ECs0013"	"A_07_P010756"	-0.18004372032772	-0.261618262	-1.374423915	0.210463133	0.282253011	-6.452826416
"19"	"ECs0013"	"A_07_P041406"	-0.739000428805278	-0.261618262	-1.374423915	0.210463133	0.282253011	-6.452826416
"20"	"ECs0014"	"A_07_P010763"	-0.909869879958997	-1.388138222	-20.81855499	1.04e-07	1.81e-06	8.314274949
"21"	"ECs0014"	"A_07_P035634"	0.559562648740001	-1.388138222	-20.81855499	1.04e-07	1.81e-06	8.314274949
"22"	"ECs0015"	"A_07_P010766"	-0.453592333574046	-0.488890992	-4.559151157	0.002410903	0.00575353	-2.815486733
"23"	"ECs0016"	"A_07_P048478"	-0.0498003691624861	-0.062280723	-0.699108129	0.506380716	0.589052918	-8.033321745
"24"	"ECs0016"	"A_07_P035421"	-0.01784542774511	-0.062280723	-0.699108129	0.506380716	0.589052918	-8.033321745
"25"	"ECs0016"	"A_07_P048482"	-0.145675173376903	-0.062280723	-0.699108129	0.506380716	0.589052918	-8.033321745
"26"	"ECs0016"	"A_07_P010256"	-0.0358685377927308	-0.062280723	-0.699108129	0.506380716	0.589052918	-8.033321745
"27"	"ECs0016"	"A_07_P010779"	0.131592033333565	-0.062280723	-0.699108129	0.506380716	0.589052918	-8.033321745
"28"	"ECs0016"	"A_07_P058872"	0.0230793697168981	-0.062280723	-0.699108129	0.506380716	0.589052918	-8.033321745
"29"	"ECs0017"	"A_07_P010784"	-0.228130580462119	-0.463211723	-5.727947931	0.000639873	0.001805322	-1.356271947
"30"	"ECs0018"	"A_07_P010789"	-0.288455166175839	-0.384949157	-4.343312784	0.003146103	0.007236302	-2.998741064
"31"	"ECs0019"	"A_07_P049110"	0.514360927014404	-0.554644409	-3.7810543	0.006502473	0.013641465	-3.15510043
