query name	subject	percent identities	aligned length	number of mismatched positions	number of gap positions	query sequence start	query sequence end	subject sequence start	subject sequence end	e-value	bit score
A_07_P020871	ECs2358	98.31	59	1	0	2	60	92	150	5e-25	109
A_07_P054929	ECs2473	100.00	60	0	0	1	60	381	440	5e-28	119
A_07_P049826	ECs4587	100.00	60	0	0	1	60	150	209	5e-28	119
A_07_P060731	ECs1534	100.00	60	0	0	1	60	409	468	5e-28	119
A_07_P001743	ECs1486	100.00	60	0	0	1	60	429	488	5e-28	119
A_07_P005268	ECs1048	100.00	60	0	0	1	60	400	459	5e-28	119
A_07_P054424	ECs2947	100.00	60	0	0	1	60	633	692	5e-28	119
A_07_P046333	ECs0763	100.00	60	0	0	1	60	1234	1293	5e-28	119
A_07_P061498	ECs5048	100.00	60	0	0	1	60	1124	1183	5e-28	119
A_07_P017965	ECs4229	100.00	60	0	0	1	60	444	503	5e-28	119
A_07_P005677	ECs4693	100.00	60	0	0	1	60	832	891	5e-28	119
A_07_P047006	ECs4774	100.00	60	0	0	1	60	1167	1226	5e-28	119
A_07_P013789	ECs3184	100.00	60	0	0	1	60	486	545	5e-28	119
A_07_P049649	ECs4551	100.00	60	0	0	1	60	182	241	5e-28	119
A_07_P047590	ECs5309	100.00	60	0	0	1	60	64	123	5e-28	119
A_07_P054633	ECs2214	100.00	60	0	0	1	60	56	115	5e-28	119
A_07_P058346	ECs1800	100.00	60	0	0	1	60	12	71	5e-28	119
A_07_P004688	ECs0927	98.33	60	1	0	1	60	1013	1072	1e-25	111
A_07_P051576	ECs1247	100.00	60	0	0	1	60	247	306	5e-28	119
A_07_P062907	ECs0194	100.00	60	0	0	1	60	11	70	5e-28	119
A_07_P031124	ECs0464	90.57	53	5	0	8	60	691	743	6e-12	65.9
A_07_P019799	ECs3445	98.33	60	1	0	1	60	135	194	1e-25	111
A_07_P036378	ECs1337	100.00	60	0	0	1	60	224	283	5e-28	119
A_07_P005789	ECs4714	100.00	60	0	0	1	60	61	120	5e-28	119
A_07_P037462	ECs4933	93.33	60	4	0	1	60	1211	1270	2e-18	87.7
A_07_P046950	ECs1364	100.00	60	0	0	1	60	84	143	5e-28	119
A_07_P033238	ECs1359	98.33	60	1	0	1	60	147	206	1e-25	111
A_07_P007737	ECs4445	100.00	60	0	0	1	60	365	424	5e-28	119
A_07_P044473	ECs2489	100.00	60	0	0	1	60	776	835	5e-28	119
A_07_P054551	ECs2197	100.00	60	0	0	1	60	236	295	5e-28	119
A_07_P011931	ECs3834	100.00	60	0	0	1	60	606	665	5e-28	119
A_07_P052921	ECs2987	100.00	60	0	0	1	60	408	467	5e-28	119
A_07_P056021	ECs3592	100.00	60	0	0	1	60	362	421	5e-28	119
A_07_P011542	ECs5141	100.00	59	0	0	2	60	343	401	2e-27	117
A_07_P054951	ECs2495	100.00	60	0	0	1	60	1182	1241	5e-28	119
A_07_P049994	ECs4742	100.00	60	0	0	1	60	628	687	5e-28	119
A_07_P019306	ECs4833	100.00	60	0	0	1	60	828	887	5e-28	119
A_07_P010077	ECs0737	95.00	60	3	0	1	60	849	908	7e-21	95.6
A_07_P034686	ECs4382	98.33	60	1	0	1	60	725	784	1e-25	111
A_07_P045693	ECs3804	100.00	60	0	0	1	60	467	526	5e-28	119
A_07_P042845	ECs5497	100.00	60	0	0	1	60	12	71	5e-28	119
A_07_P054174	ECs0604	100.00	60	0	0	1	60	317	376	5e-28	119
A_07_P004893	ECs0974	100.00	60	0	0	1	60	421	480	5e-28	119
A_07_P043233	ECs3635	100.00	60	0	0	1	60	425	484	5e-28	119
A_07_P055835	ECs2950	100.00	60	0	0	1	60	70	129	5e-28	119
A_07_P045584	ECs3727	100.00	60	0	0	1	60	421	480	5e-28	119
A_07_P016779	ECs0643	95.00	60	3	0	1	60	589	648	7e-21	95.6
A_07_P049535	ECs4479	100.00	60	0	0	1	60	504	563	5e-28	119
A_07_P011208	ECs5077	98.33	60	1	0	1	60	202	261	1e-25	111
A_07_P045859	ECs3930	100.00	60	0	0	1	60	277	336	5e-28	119
A_07_P051146	ECs2967	100.00	60	0	0	1	60	494	553	5e-28	119
